unique_image,lat,long,flight_name,date
C7_L1_F35_T20210512_130619_378,42.2422537450069,-70.0283072622812,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F36_T20210512_130619_836,42.2422569878595,-70.0285565261784,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F37_T20210512_130620_286,42.2422610226492,-70.0288067547698,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F38_T20210512_130620_753,42.2422651974855,-70.0290570332112,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F39_T20210512_130621_198,42.2422709084941,-70.0293072009036,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F40_T20210512_130621_658,42.242280482846,-70.0295577049831,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F41_T20210512_130622_109,42.2422913044192,-70.0298070093034,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F42_T20210512_130622_568,42.242297927867,-70.0300571324023,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F43_T20210512_130623_020,42.2423034674935,-70.0303087259124,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F44_T20210512_130623_478,42.2423105111252,-70.0305602881398,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F45_T20210512_130623_928,42.2423175325013,-70.0308125485005,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F46_T20210512_130624_386,42.242324450353,-70.0310652295764,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F47_T20210512_130624_836,42.2423287802572,-70.0313191794111,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F48_T20210512_130625_295,42.2423356243491,-70.03157436695,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F49_T20210512_130625_747,42.2423455611463,-70.0318283612704,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F50_T20210512_130626_209,42.2423566841737,-70.0320816650966,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F51_T20210512_130626_658,42.2423700964161,-70.0323349178073,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F52_T20210512_130627_108,42.2423896712694,-70.0325898973733,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F53_T20210512_130627_566,42.2423964869667,-70.0328459203222,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F54_T20210512_130628_019,42.2423947579919,-70.0331015683333,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F55_T20210512_130628_477,42.2423939625187,-70.0333588422584,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F56_T20210512_130628_928,42.2423941111885,-70.0336150225475,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F57_T20210512_130629_386,42.2423948248692,-70.0338690580228,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F58_T20210512_130629_836,42.2423926639732,-70.034121596585,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F59_T20210512_130630_296,42.2423913348365,-70.034374274264,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F60_T20210512_130630_747,42.2423929219718,-70.0346254521765,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F61_T20210512_130631_209,42.2423944826322,-70.0348759245533,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F62_T20210512_130631_663,42.2423919868306,-70.0351255561773,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F63_T20210512_130632_120,42.2423836152996,-70.0353831912865,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F64_T20210512_130632_570,42.2423810970656,-70.0356357032594,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F65_T20210512_130633_027,42.242380873599,-70.0358851386473,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F66_T20210512_130633_479,42.2423858371518,-70.0361357962167,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F67_T20210512_130633_938,42.242397196965,-70.036386475905,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F68_T20210512_130634_387,42.2424122083071,-70.0366374523879,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F69_T20210512_130634_847,42.2424283614948,-70.0368894721906,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F70_T20210512_130635_297,42.2424430281691,-70.037142141556,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F71_T20210512_130635_756,42.242451831631,-70.0373943937619,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F72_T20210512_130636_210,42.2424552277477,-70.0376478329171,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F73_T20210512_130636_678,42.2424596432674,-70.0379033709756,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F74_T20210512_130637_118,42.2424621847903,-70.0381597654988,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F75_T20210512_130637_580,42.24246459557,-70.0384142386747,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F76_T20210512_130638_030,42.2424632990567,-70.0386685435192,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F77_T20210512_130638_492,42.2424672137333,-70.0389232826513,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F78_T20210512_130638_940,42.2424695782406,-70.0391759455718,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F79_T20210512_130639_402,42.2424691870591,-70.0394336295619,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F80_T20210512_130639_848,42.2424663818556,-70.0396901335421,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F81_T20210512_130640_305,42.2424608251402,-70.0399444313938,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F82_T20210512_130640_759,42.242459439591,-70.0401994431842,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F83_T20210512_130641_218,42.2424596393451,-70.0404518016869,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F84_T20210512_130641_667,42.2424542543577,-70.0407032663697,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F85_T20210512_130642_127,42.2424495723796,-70.0409584872383,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F86_T20210512_130642_576,42.242448837547,-70.0412137621143,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F87_T20210512_130643_039,42.2424499196844,-70.0414675732878,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F88_T20210512_130643_486,42.2424502376466,-70.0417199623537,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F89_T20210512_130643_936,42.2424516897796,-70.04197178952,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F90_T20210512_130644_397,42.2424513211096,-70.0422235809498,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F91_T20210512_130644_848,42.242450411228,-70.0424751281182,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F92_T20210512_130645_308,42.2424577157547,-70.0427268910316,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F93_T20210512_130645_757,42.2424711147498,-70.0429778898088,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F94_T20210512_130646_215,42.2424817501671,-70.0432272024604,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F95_T20210512_130646_667,42.2424947949213,-70.0434815247185,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F96_T20210512_130647_128,42.2424988919576,-70.043736417883,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F97_T20210512_130647_577,42.2425035764376,-70.0439915485302,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F98_T20210512_130648_037,42.24251760139,-70.0442444795155,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F99_T20210512_130648_488,42.2425271646722,-70.0444990547218,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F100_T20210512_130648_946,42.2425309604013,-70.0447559797873,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F101_T20210512_130649_397,42.2425347387339,-70.0450124867821,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F102_T20210512_130649_857,42.2425355538669,-70.0452703290924,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F103_T20210512_130650_305,42.2425325804987,-70.0455300564478,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F104_T20210512_130650_765,42.2425355001458,-70.0457903272879,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F105_T20210512_130651_217,42.242537990357,-70.0460486111784,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F106_T20210512_130651_677,42.2425334358516,-70.046305754722,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F107_T20210512_130652_129,42.2425303215337,-70.0465647629182,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F108_T20210512_130652_587,42.242528149581,-70.046822082703,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F109_T20210512_130653_037,42.2425240055741,-70.0470792527276,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F110_T20210512_130653_935,42.2425179339494,-70.0473387346402,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F111_T20210512_130654_017,42.2425110763568,-70.0475965506615,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F112_T20210512_130654_407,42.242506181163,-70.0478557548479,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F113_T20210512_130654_857,42.2425044009174,-70.0481159304191,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F114_T20210512_130655_317,42.2425045418202,-70.0483739989996,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F115_T20210512_130655_767,42.2425042695591,-70.0486303032498,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F116_T20210512_130656_228,42.242507268124,-70.0488872858359,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F117_T20210512_130656_675,42.2425132904826,-70.0491431569376,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F118_T20210512_130657_136,42.2425183720387,-70.0493984191256,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F119_T20210512_130657_588,42.2425253031024,-70.0496541579198,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F120_T20210512_130658_047,42.2425322520862,-70.0499104888398,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F121_T20210512_130658_495,42.2425400515804,-70.0501675720673,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F122_T20210512_130658_957,42.2425466487905,-70.0504258585196,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F123_T20210512_130659_408,42.2425530442384,-70.0506843303889,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F124_T20210512_130659_867,42.2425607456123,-70.0509426246127,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F125_T20210512_130700_317,42.24256871225,-70.051200023258,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F126_T20210512_130700_767,42.2425761812333,-70.0514566794998,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F127_T20210512_130701_226,42.2425826976587,-70.0517146041001,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F128_T20210512_130701_679,42.2425885270706,-70.0519747003014,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F129_T20210512_130702_137,42.2425953359001,-70.0522348827314,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F130_T20210512_130702_586,42.2426015413299,-70.0524939558379,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F131_T20210512_130703_048,42.2426066864213,-70.0527535245876,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F132_T20210512_130703_495,42.2426110057432,-70.0530134537908,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F133_T20210512_130703_956,42.2426148055938,-70.0532747107238,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F134_T20210512_130704_406,42.2426195918535,-70.0535363435989,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F135_T20210512_130704_867,42.2426234847732,-70.0537969465409,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F136_T20210512_130705_315,42.2426251629739,-70.0540571930591,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F137_T20210512_130705_779,42.2426255144941,-70.0543170616613,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F138_T20210512_130706_227,42.2426263019532,-70.0545772805061,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F139_T20210512_130706_685,42.2426269011714,-70.0548375078993,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F140_T20210512_130707_138,42.2426259640975,-70.055098261722,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F141_T20210512_130707_595,42.2426238604467,-70.0553591995116,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F142_T20210512_130708_045,42.2426257657083,-70.0556210307007,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F143_T20210512_130708_509,42.2426283543046,-70.0558824663898,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F144_T20210512_130708_957,42.2426305986624,-70.0561424877417,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F145_T20210512_130709_417,42.2426337191449,-70.0564023143768,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F146_T20210512_130709_866,42.2426370404997,-70.0566627872905,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F147_T20210512_130710_325,42.2426413870608,-70.0569230027823,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F148_T20210512_130710_779,42.2426453823198,-70.0571832243801,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F149_T20210512_130711_239,42.2426482980982,-70.0574433447639,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F150_T20210512_130711_686,42.2426511182894,-70.0577041295672,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F151_T20210512_130712_147,42.2426534970895,-70.0579647441783,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F152_T20210512_130712_596,42.2426563724351,-70.0582248363308,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F153_T20210512_130713_057,42.2426590991554,-70.0584849003839,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F154_T20210512_130713_506,42.2426614697592,-70.0587442565938,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F155_T20210512_130713_968,42.2426631938481,-70.059004070864,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F156_T20210512_130714_416,42.2426662396448,-70.0592645578394,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F157_T20210512_130714_874,42.2426686242154,-70.0595251344624,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F158_T20210512_130715_325,42.242671541078,-70.0597861432807,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F159_T20210512_130715_787,42.2426746515825,-70.0600456000178,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F160_T20210512_130716_237,42.2426785969355,-70.0603046213359,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F161_T20210512_130716_686,42.2426823553361,-70.0605642329207,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F162_T20210512_130717_146,42.2426852534393,-70.0608246088635,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F163_T20210512_130717_596,42.2426874407171,-70.0610845656067,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F164_T20210512_130718_056,42.2426890650828,-70.0613451097435,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F165_T20210512_130718_507,42.2426911444879,-70.0616055468718,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F166_T20210512_130718_964,42.2426928190712,-70.0618655817114,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F167_T20210512_130719_415,42.2426934230952,-70.0621261928358,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F168_T20210512_130719_877,42.2426937172144,-70.0623870784165,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F169_T20210512_130720_326,42.2426932083038,-70.0626467932206,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F170_T20210512_130720_787,42.2426942830251,-70.0629057785782,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F171_T20210512_130721_235,42.2426959733677,-70.0631643257962,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F172_T20210512_130721_696,42.2426966811856,-70.0634237181758,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F173_T20210512_130722_149,42.2426989802149,-70.0636836645684,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F174_T20210512_130722_606,42.242702781563,-70.0639431315389,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F175_T20210512_130723_056,42.242707620552,-70.0642017413155,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F176_T20210512_130723_514,42.2427136965608,-70.0644595733881,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F177_T20210512_130723_963,42.2427210699013,-70.0647183120446,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F178_T20210512_130724_424,42.2427291053834,-70.0649777074436,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F179_T20210512_130724_877,42.2427368519502,-70.0652369955299,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F180_T20210512_130725_334,42.2427425189011,-70.0654978414913,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F181_T20210512_130725_786,42.2427468943967,-70.0657622787159,2021_May_12_13,2021-05-12T13:05:00
